CloseDate,ClosePrice_x,Latitude,Longitude,UnparsedAddress_x,PropertyType,LivingArea,CountyOrParish,ParkingTotal,PropertySubType,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,GarageSpaces,HighSchoolDistrict,PostalCode,LotSizeSquareFeet,ViewYN_False,ViewYN_Missing,ViewYN_True,WaterfrontYN_Missing,WaterfrontYN_True,BasementYN_Missing,BasementYN_True,PoolPrivateYN_False,PoolPrivateYN_Missing,PoolPrivateYN_True,AttachedGarageYN_False,AttachedGarageYN_Missing,AttachedGarageYN_True,FireplaceYN_False,FireplaceYN_Missing,FireplaceYN_True,NewConstructionYN_False,NewConstructionYN_Missing,NewConstructionYN_True,LocationCluster,Levels_Clean,Flooring_Simplified,LotPerLivingArea,HasGarage,Has_Fireplace,Is_New,closest_city,distance_to_downtown,TotalRooms,GarageSpaces_Per_LivingArea,LargeLivingArea_With_EnoughRoom,ExpensiveCity,FamousCity_With_LargeHouse,UnparsedAddress_y,ClosePrice_y
2024-04-18,330000.0,33.912156,-116.933957,1335 Fairway Oaks Avenue,Residential,1315.0,Riverside,4.0,SingleFamilyResidence,1990.0,1335.0,PW24025285,2.0,Banning,3.0,CA,2.0,Banning Unified,92220,4356.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,7.0,1.0,Unknown,3.3125475285171104,1,1,0,Los Angeles,121.76265902227004,5.0,0.0015209125475285,0,0,0,1335 Fairway Oaks Avenue,330000.0
2024-04-04,430000.0,39.722155,-121.798339,2155 Robailey Drive,Residential,1496.0,Butte,2.0,SingleFamilyResidence,1998.0,2155.0,SN24025283,2.0,Chico,3.0,CA,2.0,Chico Unified,95928,6970.0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,3.0,1.0,"Carpet,Laminate",4.659090909090909,1,0,0,Sacramento,129.50334697197908,5.0,0.0013368983957219,0,0,0,2155 Robailey Drive,430000.0
2024-04-10,1100000.0,34.036628,-117.792129,24168 Avenida Rancheros,Residential,2364.0,Los Angeles,3.0,SingleFamilyResidence,1984.0,24168.0,TR24025238,3.0,Diamond Bar,4.0,CA,3.0,Pomona Unified,91765,24031.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0.0,2.0,"Laminate,Tile",10.165397631133672,1,1,0,Los Angeles,41.64217256653331,7.0,0.0012690355329949,1,0,0,24168 Avenida Rancheros,1100000.0
2024-04-03,340000.0,37.278786,-120.496262,779 Dean Court,Residential,1002.0,Merced,2.0,SingleFamilyResidence,2023.0,779.0,MC24025280,2.0,Merced,3.0,CA,2.0,Merced City,95341,5500.0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4.0,1.0,Carpet,5.489021956087824,1,0,1,Fresno,87.08442893052849,5.0,0.0019960079840319,0,0,0,779 Dean Court,340000.0
2024-04-10,1550000.0,34.296643,-118.882294,13105 Canyon Wren Court,Residential,4115.0,Ventura,5.0,SingleFamilyResidence,2018.0,13105.0,V1-21836,5.0,Moorpark,5.0,CA,3.0,Missing,93021,9142.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.0,2.0,Unknown,2.221628189550425,1,1,0,Los Angeles,64.73052635447684,10.0,0.0007290400972053,1,0,0,13105 Canyon Wren Court,1550000.0
2024-04-11,865000.0,34.186895,-118.540594,18701 Victory Boulevard,Residential,1625.0,Los Angeles,2.0,SingleFamilyResidence,1955.0,18701.0,SR24024477,2.0,Reseda,3.0,CA,2.0,Los Angeles Unified,91335,7477.0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,6.0,1.0,"Laminate,Tile",4.601230769230769,1,1,0,Los Angeles,31.165348480279537,5.0,0.0012307692307692,0,0,0,18701 Victory Boulevard,865000.0
2024-04-22,2040000.0,32.6883727,-117.1846619,939 Olive Ave,Residential,1314.0,San Diego,3.0,SingleFamilyResidence,1940.0,939.0,240002609SD,2.0,Coronado,3.0,CA,2.0,Missing,92118,1559.0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2.0,2.0,Unknown,1.1864535768645357,1,0,0,San Diego,3.754202902608262,5.0,0.0015220700152207,0,1,0,939 Olive Ave,2040000.0
2024-04-26,2450000.0,37.8526329,-122.0010901,2439 Royal Oaks Drive,Residential,3336.0,Contra Costa,2.0,SingleFamilyResidence,1966.0,2439.0,41049212,4.0,Alamo,4.0,CA,2.0,Missing,94507,20096.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,1.0,"Carpet,Vinyl",6.023980815347722,1,1,0,San Francisco,37.749213278264726,8.0,0.000599520383693,1,1,0,2439 Royal Oaks Drive,2450000.0
2024-04-19,1910000.0,33.638437,-116.244774,81310 Legends Way,Residential,4370.0,Riverside,3.0,SingleFamilyResidence,2005.0,81310.0,219106380DA,4.0,La Quinta,4.0,CA,3.0,Missing,92253,12632.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,9.0,1.0,"Carpet,Tile",2.890617848970252,1,1,0,San Diego,133.41642371016442,8.0,0.0006864988558352,1,0,0,81310 Legends Way,1910000.0
2024-04-12,3158000.0,34.063462,-118.429627,1287 Woodruff Avenue,Residential,2692.0,Los Angeles,2.0,SingleFamilyResidence,1930.0,1287.0,24354379,3.0,Los Angeles,3.0,CA,2.0,Missing,90024,6760.0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,6.0,2.0,"Tile,Wood",2.511144130757801,1,1,0,Los Angeles,17.1736760292967,6.0,0.00074294205052,0,0,1,1287 Woodruff Avenue,3158000.0
