CloseDate,ClosePrice_x,Latitude,Longitude,UnparsedAddress_x,PropertyType,LivingArea,CountyOrParish,ParkingTotal,PropertySubType,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,GarageSpaces,HighSchoolDistrict,PostalCode,LotSizeSquareFeet,ViewYN_False,ViewYN_Missing,ViewYN_True,WaterfrontYN_Missing,WaterfrontYN_True,BasementYN_Missing,BasementYN_True,PoolPrivateYN_False,PoolPrivateYN_Missing,PoolPrivateYN_True,AttachedGarageYN_False,AttachedGarageYN_Missing,AttachedGarageYN_True,FireplaceYN_False,FireplaceYN_Missing,FireplaceYN_True,NewConstructionYN_False,NewConstructionYN_Missing,NewConstructionYN_True,LocationCluster,Levels_Clean,Flooring_Simplified,LotPerLivingArea,HasGarage,Has_Fireplace,Is_New,closest_city,distance_to_downtown,TotalRooms,GarageSpaces_Per_LivingArea,LargeLivingArea_With_EnoughRoom,ExpensiveCity,FamousCity_With_LargeHouse,UnparsedAddress_y,ClosePrice_y
2024-08-02,520000.0,34.5411248,-117.354821,16022 El Capitan Place,Residential,2901.0,San Bernardino,2.0,SingleFamilyResidence,2018.0,16022.0,HD24099378,3.0,Victorville,6.0,CA,2.0,Victor Valley Union High,92394,7405.0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,7.0,2.0,"Carpet,Laminate",2.5525680799724237,1,1,0,Los Angeles,98.09621358068316,9.0,0.0006894174422612,1,0,1,16022 El Capitan Place,520000.0
2024-08-27,380000.0,34.432319,-117.312203,16086 Vine St,Residential,1040.0,San Bernardino,2.0,SingleFamilyResidence,1987.0,16086.0,IV24098622,2.0,Hesperia,2.0,CA,2.0,Hesperia Unified,92345,11250.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,7.0,1.0,Unknown,10.817307692307692,1,1,0,Los Angeles,95.48774083471793,4.0,0.0019230769230769,0,0,0,16086 Vine St,380000.0
2024-08-30,339900.0,34.119229,-116.388462,7370 Avalon Avenue,Residential,1296.0,San Bernardino,2.0,SingleFamilyResidence,2004.0,7370.0,JT24099349,2.0,Yucca Valley,3.0,CA,2.0,Morongo Unified,92284,18873.0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,9.0,1.0,"Carpet,Tile",14.5625,1,0,0,Los Angeles,171.0120551670507,5.0,0.0015432098765432,0,0,0,7370 Avalon Avenue,339900.0
2024-08-30,385000.0,34.257759,-117.331663,21594 Jobs Peak Road,Residential,1160.0,San Bernardino,0.0,SingleFamilyResidence,1981.0,21594.0,EV24099091,2.0,Cedarpines Park,2.0,CA,0.0,Rim of the World,92322,12300.0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,7.0,2.0,Vinyl,10.60344827586207,0,1,0,Los Angeles,86.97886015203377,4.0,0.0,0,0,0,21594 Jobs Peak Road,385000.0
2024-08-27,1250000.0,34.247955,-118.612924,22309 Marilla Street,Residential,2703.0,Los Angeles,4.0,SingleFamilyResidence,1962.0,22309.0,SR24099292,3.0,Chatsworth,4.0,CA,4.0,Los Angeles Unified,91311,19211.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6.0,1.0,Unknown,7.107288198298187,1,1,0,Los Angeles,40.351017488227065,7.0,0.001479837217906,1,0,0,22309 Marilla Street,1250000.0
2024-08-30,720000.0,33.942827,-118.288511,740 W 103rd Street,Residential,1291.0,Los Angeles,2.0,SingleFamilyResidence,1925.0,740.0,PW24099274,2.0,Los Angeles,3.0,CA,2.0,Los Angeles Unified,90044,4121.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0.0,1.0,Laminate,3.1920991479473275,1,1,0,Los Angeles,12.844171947906244,5.0,0.0015491866769945,0,0,0,740 W 103rd Street,720000.0
2024-08-20,829000.0,34.446197,-118.511436,21534 Alaminos Drive,Residential,2004.0,Los Angeles,0.0,SingleFamilyResidence,1983.0,21534.0,TR24099190,3.0,Saugus,3.0,CA,0.0,See Remarks,91350,10750.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,6.0,1.0,"Laminate,Tile",5.364271457085828,0,1,0,Los Angeles,50.24869531558642,6.0,0.0,0,0,0,21534 Alaminos Drive,829000.0
2024-08-06,900000.0,34.2035244,-118.8712632,269 W Columbia Road,Residential,1526.0,Ventura,2.0,SingleFamilyResidence,1966.0,269.0,CV24098421,2.0,Thousand Oaks,3.0,CA,2.0,Conejo Valley Unified,91360,9350.0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,6.0,1.0,Unknown,6.127129750982962,1,0,0,Los Angeles,60.16526319830147,5.0,0.001310615989515,0,0,0,269 W Columbia Road,900000.0
2024-08-26,784000.0,36.61471998,-121.83841656,1268 San Pablo Avenue,Residential,1455.0,Monterey,3.0,SingleFamilyResidence,1981.0,1268.0,ML81964992,3.0,Seaside,3.0,CA,2.0,Other,93955,3750.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.0,1.0,"Tile,Wood",2.577319587628866,1,1,0,San Jose,80.55967671069403,6.0,0.0013745704467353,0,0,0,1268 San Pablo Avenue,784000.0
2024-08-09,950000.0,37.9097436,-121.6145136,707 Blake Court,Residential,2839.0,Contra Costa,3.0,SingleFamilyResidence,2006.0,707.0,ML81965933,3.0,Discovery Bay,4.0,CA,3.0,Other,94505,9013.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,8.0,1.0,Unknown,3.174709404719972,1,1,0,San Jose,67.91085195214288,7.0,0.0010567101091933,1,0,0,707 Blake Court,950000.0
