CloseDate,ClosePrice_x,Latitude,Longitude,UnparsedAddress_x,PropertyType,LivingArea,CountyOrParish,ParkingTotal,PropertySubType,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,GarageSpaces,HighSchoolDistrict,PostalCode,LotSizeSquareFeet,ViewYN_False,ViewYN_Missing,ViewYN_True,WaterfrontYN_Missing,WaterfrontYN_True,BasementYN_Missing,BasementYN_True,PoolPrivateYN_False,PoolPrivateYN_Missing,PoolPrivateYN_True,AttachedGarageYN_False,AttachedGarageYN_Missing,AttachedGarageYN_True,FireplaceYN_False,FireplaceYN_Missing,FireplaceYN_True,NewConstructionYN_False,NewConstructionYN_Missing,NewConstructionYN_True,LocationCluster,Levels_Clean,Flooring_Simplified,LotPerLivingArea,HasGarage,Has_Fireplace,Is_New,closest_city,distance_to_downtown,TotalRooms,GarageSpaces_Per_LivingArea,LargeLivingArea_With_EnoughRoom,ExpensiveCity,FamousCity_With_LargeHouse,UnparsedAddress_y,ClosePrice_y
2024-09-17,655000.0,34.134316,-117.364041,395 E Easton Street,Residential,1486.0,San Bernardino,4.0,SingleFamilyResidence,1962.0,395.0,EV24141395,2.0,Rialto,3.0,CA,2.0,Rialto Unified,92376,10349.0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,7.0,1.0,Vinyl,6.964333781965006,1,0,0,Los Angeles,81.5147755547181,5.0,0.0013458950201884,0,0,0,395 E Easton Street,655000.0
2024-09-20,437000.0,34.585784000000004,-118.125621,38704 Stanridge Avenue,Residential,1196.0,Los Angeles,1.0,SingleFamilyResidence,1955.0,38704.0,SR24142300,2.0,Palmdale,4.0,CA,1.0,Antelope Valley Union,93550,6486.0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,6.0,1.0,Unknown,5.423076923076923,1,0,0,Los Angeles,60.31465540722383,6.0,0.0008361204013377,0,0,0,38704 Stanridge Avenue,437000.0
2024-09-05,620000.0,38.7513055,-121.21679651,4520 Northglen St,Residential,1535.0,Placer,2.0,SingleFamilyResidence,1974.0,4520.0,41066067,2.0,Granite Bay,3.0,CA,2.0,Missing,95746,7205.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,3.0,1.0,Carpet,4.693811074918567,1,1,0,Sacramento,30.61015999515627,5.0,0.0013029315960912,0,0,0,4520 Northglen St,620000.0
2024-09-04,680000.0,34.134353999999995,-117.582648,10198 Shinon Drive,Residential,1325.0,San Bernardino,2.0,SingleFamilyResidence,1988.0,10198.0,CV24138118,3.0,Rancho Cucamonga,3.0,CA,2.0,Chaffey Joint Union High,91737,4709.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,7.0,2.0,"Carpet,Tile",3.553962264150943,1,1,0,Los Angeles,61.55345406171863,6.0,0.0015094339622641,0,0,0,10198 Shinon Drive,680000.0
2024-09-06,1489600.0,34.22238,-118.825469,2796 Heavenly Ridge Street,Residential,3348.0,Ventura,3.0,SingleFamilyResidence,2001.0,2796.0,PW24140800,4.0,Thousand Oaks,4.0,CA,3.0,Conejo Valley Unified,91362,8618.0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,6.0,1.0,"Tile,Wood",2.574074074074074,1,1,0,Los Angeles,56.78881644948707,8.0,0.0008960573476702,1,0,0,2796 Heavenly Ridge Street,1489600.0
2024-09-03,1173500.0,34.158734,-118.622017,22671 Cavalier Street,Residential,2064.0,Los Angeles,4.0,SingleFamilyResidence,1966.0,22671.0,SR24139512,3.0,Woodland Hills,4.0,CA,2.0,Los Angeles Unified,91364,6275.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,6.0,2.0,"Carpet,Wood",3.040213178294574,1,1,0,Los Angeles,36.79095313612255,7.0,0.000968992248062,0,0,0,22671 Cavalier Street,1173500.0
2024-09-03,1005000.0,37.6837992,-121.7558398,426 Vista Court,Residential,1443.0,Alameda,2.0,SingleFamilyResidence,1955.0,426.0,ML81972746,2.0,Livermore,3.0,CA,2.0,Other,94550,5838.0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,8.0,1.0,"Carpet,Wood",4.045738045738045,1,0,0,San Jose,40.11471963351564,5.0,0.0013860013860013,0,0,0,426 Vista Court,1005000.0
2024-09-12,425000.0,33.733555,-116.220581,82741 Mountain View Avenue,Residential,2066.0,Riverside,2.0,SingleFamilyResidence,1957.0,82741.0,219114037DA,3.0,Indio,4.0,CA,0.0,Desert Sands Unified,92201,6098.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,9.0,1.0,Tile,2.951597289448209,0,1,0,San Diego,143.04856632156208,7.0,0.0,0,0,0,82741 Mountain View Avenue,425000.0
2024-09-23,825000.0,34.279237,-118.768921,1555 Cochran Street,Residential,1998.0,Ventura,2.0,SingleFamilyResidence,1968.0,1555.0,224002831,3.0,Simi Valley,4.0,CA,2.0,Missing,93065,7924.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,6.0,2.0,Carpet,3.965965965965966,1,1,0,Los Angeles,54.51973023420933,7.0,0.001001001001001,0,0,0,1555 Cochran Street,825000.0
2024-09-10,725000.0,34.103268,-117.861473,5005 N Rimhurst Avenue,Residential,1600.0,Los Angeles,6.0,SingleFamilyResidence,1956.0,5005.0,CV24136372,2.0,Covina,3.0,CA,2.0,Charter Oak Unified,91724,7762.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0,"Laminate,Wood",4.85125,1,1,0,Los Angeles,35.65825695952468,5.0,0.00125,0,0,0,5005 N Rimhurst Avenue,725000.0
