CloseDate,ClosePrice_x,Latitude,Longitude,UnparsedAddress_x,PropertyType,LivingArea,CountyOrParish,ParkingTotal,PropertySubType,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,GarageSpaces,HighSchoolDistrict,PostalCode,LotSizeSquareFeet,ViewYN_False,ViewYN_Missing,ViewYN_True,WaterfrontYN_Missing,WaterfrontYN_True,BasementYN_Missing,BasementYN_True,PoolPrivateYN_False,PoolPrivateYN_Missing,PoolPrivateYN_True,AttachedGarageYN_False,AttachedGarageYN_Missing,AttachedGarageYN_True,FireplaceYN_False,FireplaceYN_Missing,FireplaceYN_True,NewConstructionYN_False,NewConstructionYN_Missing,NewConstructionYN_True,LocationCluster,Levels_Clean,Flooring_Simplified,LotPerLivingArea,HasGarage,Has_Fireplace,Is_New,closest_city,distance_to_downtown,TotalRooms,GarageSpaces_Per_LivingArea,LargeLivingArea_With_EnoughRoom,ExpensiveCity,FamousCity_With_LargeHouse,UnparsedAddress_y,ClosePrice_y
2024-05-16,608000.0,37.99165250000001,-121.7076441,830 Almond Dr,Residential,1370.0,Contra Costa,2.0,SingleFamilyResidence,1982.0,830.0,41055206,2.0,Oakley,4.0,CA,2.0,Missing,94561,7280.0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,8.0,1.0,"Carpet,Laminate",5.313868613138686,1,1,0,San Francisco,66.95343329188381,6.0,0.0014598540145985,0,0,0,830 Almond Dr,608000.0
2024-05-21,1525000.0,37.759682,-121.950885,783 Winterside Circle,Residential,2056.0,Contra Costa,2.0,SingleFamilyResidence,1990.0,783.0,41055208,3.0,San Ramon,5.0,CA,2.0,San Ramon Valley,94583,3446.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,2.0,"Carpet,Tile,Wood",1.676070038910506,1,1,0,San Francisco,41.21723218250853,8.0,0.0009727626459143,0,1,0,783 Winterside Circle,1525000.0
2024-05-13,971000.0,33.85169,-118.258447,880 E Turmont Street,Residential,1665.0,Los Angeles,2.0,SingleFamilyResidence,1965.0,880.0,DW24068462,2.0,Carson,3.0,CA,2.0,Los Angeles Unified,90746,5585.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0,Unknown,3.354354354354354,1,1,0,Los Angeles,22.33714822874715,5.0,0.0012012012012012,0,0,0,880 E Turmont Street,971000.0
2024-05-13,3500000.0,37.4897995,-122.2465455,227 Finger Avenue,Residential,3010.0,San Mateo,2.0,SingleFamilyResidence,2018.0,227.0,ML81959715,5.0,Redwood City,5.0,CA,2.0,Other,94062,5000.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,8.0,1.0,"Tile,Wood",1.6611295681063123,1,1,0,San Francisco,35.166685393448105,10.0,0.0006644518272425,1,1,0,227 Finger Avenue,3500000.0
2024-05-23,1380000.0,37.6374328,-122.4147638,25 Bayshore Circle,Residential,3040.0,San Mateo,3.0,SingleFamilyResidence,1944.0,25.0,ML81960444,3.0,San Bruno,5.0,CA,3.0,Other,94066,4250.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,8.0,1.0,Unknown,1.3980263157894737,1,1,0,San Francisco,15.291095590670142,8.0,0.0009868421052631,1,0,0,25 Bayshore Circle,1380000.0
2024-05-23,910000.0,32.709022,-116.999045,640 Sacramento Avenue,Residential,1650.0,San Diego,4.0,SingleFamilyResidence,2023.0,640.0,PTP2401912,3.0,Spring Valley,4.0,CA,0.0,Grossmont Union,91977,11325.6,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2.0,1.0,Unknown,6.864,0,0,1,San Diego,15.179837541725242,7.0,0.0,0,0,0,640 Sacramento Avenue,910000.0
2024-05-10,900000.0,37.74983840000001,-122.1351421,3910 Malcolm Ave,Residential,1970.0,Alameda,4.0,SingleFamilyResidence,1964.0,3910.0,41055201,3.0,Oakland,4.0,CA,2.0,Missing,94605,9112.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,2.0,"Carpet,Vinyl,Wood",4.625380710659899,1,1,0,San Francisco,25.14286762868148,7.0,0.0010152284263959,0,0,0,3910 Malcolm Ave,900000.0
2024-05-07,1200000.0,37.7742826,-122.2871108,320 Haight Ave,Residential,1874.0,Alameda,2.0,SingleFamilyResidence,1910.0,320.0,41055199,2.0,Alameda,4.0,CA,0.0,Alameda City Unified,94501,5400.0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,8.0,2.0,Wood,2.88153681963714,0,0,0,San Francisco,11.627290402969352,6.0,0.0,0,0,0,320 Haight Ave,1200000.0
2024-05-16,2000000.0,33.762415,-118.377962,29519 Oceanport Road,Residential,2374.0,Los Angeles,2.0,SingleFamilyResidence,1964.0,29519.0,24377072,3.0,Rancho Palos Verdes,4.0,CA,2.0,Palos Verdes Peninsula Unified,90275,9172.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,2.0,"Carpet,Wood",3.8635214827295705,1,1,0,Los Angeles,34.5227260458028,7.0,0.0008424599831508,1,1,0,29519 Oceanport Road,2000000.0
2024-05-06,3280000.0,37.3449905,-122.0358448,562 Duvall Court,Residential,2237.0,Santa Clara,2.0,SingleFamilyResidence,1965.0,562.0,ML81960432,3.0,Sunnyvale,4.0,CA,2.0,Other,94087,8276.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1.0,1.0,Unknown,3.699597675458203,1,1,0,San Jose,13.24185340517837,7.0,0.0008940545373267,0,1,0,562 Duvall Court,3280000.0
