CloseDate,ClosePrice_x,Latitude,Longitude,UnparsedAddress_x,PropertyType,LivingArea,CountyOrParish,ParkingTotal,PropertySubType,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,GarageSpaces,HighSchoolDistrict,PostalCode,LotSizeSquareFeet,ViewYN_False,ViewYN_Missing,ViewYN_True,WaterfrontYN_Missing,WaterfrontYN_True,BasementYN_Missing,BasementYN_True,PoolPrivateYN_False,PoolPrivateYN_Missing,PoolPrivateYN_True,AttachedGarageYN_False,AttachedGarageYN_Missing,AttachedGarageYN_True,FireplaceYN_False,FireplaceYN_Missing,FireplaceYN_True,NewConstructionYN_False,NewConstructionYN_Missing,NewConstructionYN_True,LocationCluster,Levels_Clean,Flooring_Simplified,LotPerLivingArea,HasGarage,Has_Fireplace,Is_New,closest_city,distance_to_downtown,TotalRooms,GarageSpaces_Per_LivingArea,LargeLivingArea_With_EnoughRoom,ExpensiveCity,FamousCity_With_LargeHouse,UnparsedAddress_y,ClosePrice_y
2024-07-01,755000.0,35.3196307,-120.8313876,1751 11th Street,Residential,1244.0,San Luis Obispo,2.0,SingleFamilyResidence,1977.0,1751.0,SC24107981,3.0,Los Osos,4.0,CA,2.0,San Luis Coastal Unified,93402,6250.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,5.0,1.0,"Carpet,Wood",5.02411575562701,1,1,0,Fresno,183.5339113725801,7.0,0.0016077170418006,0,0,0,1751 11th Street,755000.0
2024-07-23,519900.0,33.9420004,-116.9513834,1278 Sunburst Drive,Residential,1901.0,Riverside,2.0,SingleFamilyResidence,2003.0,1278.0,EV24110617,2.0,Beaumont,4.0,CA,2.0,Beaumont,92223,6534.0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,7.0,1.0,"Carpet,Tile",3.4371383482377698,1,0,0,Los Angeles,119.76366044489828,6.0,0.0010520778537611,0,0,0,1278 Sunburst Drive,519900.0
2024-07-24,2288000.0,33.5570832,-117.2876963,38760 Valle Vista,Residential,3627.0,Riverside,6.0,SingleFamilyResidence,1989.0,38760.0,SW24075600,5.0,Murrieta,4.0,CA,3.0,Murrieta,92562,209959.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,7.0,1.0,Tile,57.887786049076375,1,1,0,San Diego,94.2971631302822,9.0,0.0008271298593879,1,0,1,38760 Valle Vista,2288000.0
2024-07-16,1720000.0,33.8056624,-118.3732801,427 Calle De Felipe,Residential,1597.0,Los Angeles,2.0,SingleFamilyResidence,1955.0,427.0,PV24111401,2.0,Torrance,4.0,CA,2.0,Torrance Unified,90505,6401.0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,1.0,Wood,4.008140262993112,1,1,0,Los Angeles,29.90720975081173,6.0,0.0012523481527864,0,0,0,427 Calle De Felipe,1720000.0
2024-07-24,850000.0,34.211485,-118.866321,741 Calle Cardo,Residential,1364.0,Ventura,2.0,SingleFamilyResidence,1960.0,741.0,OC24111378,2.0,Thousand Oaks,4.0,CA,0.0,Cajon Valley Union,91360,12277.0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,6.0,1.0,Unknown,9.000733137829911,0,0,0,Los Angeles,59.98144485616939,6.0,0.0,0,0,0,741 Calle Cardo,850000.0
2024-07-31,1100000.0,37.7531252,-122.1212504,4868 Shetland Ave.,Residential,2073.0,Alameda,4.0,SingleFamilyResidence,1958.0,4868.0,41061808,3.0,Oakland,3.0,CA,2.0,Missing,94605,8960.0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,8.0,1.0,"Carpet,Laminate,Wood",4.32223830197781,1,1,0,San Francisco,26.32014068054957,6.0,0.0009647853352629,0,0,0,4868 Shetland Ave.,1100000.0
2024-07-18,1339000.0,37.5290668,-122.0374945,7319 Carter Ave,Residential,1830.0,Alameda,2.0,SingleFamilyResidence,2000.0,7319.0,41061807,3.0,Newark,3.0,CA,2.0,Missing,94560,2452.0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,8.0,2.0,"Carpet,Laminate,Tile",1.3398907103825135,1,1,0,San Jose,25.072871896711128,6.0,0.0010928961748633,0,0,0,7319 Carter Ave,1339000.0
2024-07-16,1025000.0,34.186263,-118.560653,19616 Victory Boulevard,Residential,1949.0,Los Angeles,0.0,SingleFamilyResidence,1956.0,19616.0,24398943,4.0,Tarzana,4.0,CA,2.0,Los Angeles Unified,91335,6842.0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,6.0,1.0,Wood,3.5105182144689584,1,1,0,Los Angeles,32.76473311495732,8.0,0.0010261672652642,0,0,0,19616 Victory Boulevard,1025000.0
2024-07-18,700000.0,32.8099081,-116.9542785,679 Farview St,Residential,1378.0,San Diego,4.0,SingleFamilyResidence,1959.0,679.0,240012415SD,2.0,El Cajon,4.0,CA,2.0,Missing,92021,6300.0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.0,1.0,Unknown,4.571843251088534,1,0,0,San Diego,21.99392014823475,6.0,0.0014513788098693,0,0,0,679 Farview St,700000.0
2024-07-22,439000.0,33.67376,-116.312242,51560 Avenida Carranza,Residential,1233.0,Riverside,4.0,SingleFamilyResidence,1998.0,51560.0,219112343DA,2.0,La Quinta,3.0,CA,2.0,Missing,92253,4792.0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,9.0,1.0,"Carpet,Tile",3.886455798864558,1,0,0,San Diego,132.61726945829176,5.0,0.0016220600162206,0,0,0,51560 Avenida Carranza,439000.0
